"building_class","fov","architecture","iteration","train_n","validation_n","test_n","kappa","precision","recall","computation_time(seconds)","test_accuracy","average_accuracy","f_score"
Industry,F30,mobilenet_1.0_224,3,64021,21187,21142,0.24615587293161073,0.4584026622296173,0.2268423219431865,1122,88.03802728652954,68.21100572933443,0.30349765904709447
Industry,F60,inception_v3,0,63976,21232,21142,0.21688124185330815,0.6131447587354409,0.18582955118507313,4069,82.52766728401184,72.5604475656587,0.2852167182662539
Industry,F60,inception_v3,1,63901,21307,21142,0.1924089115344531,0.6788685524126455,0.16558441558441558,2407,78.72481346130371,73.63249482223709,0.266231647634584
Industry,F60,inception_v3,2,63726,21482,21142,0.17397034842575446,0.6871880199667221,0.15336056442629037,2521,76.65310502052307,72.92509808960992,0.2507589556769884
Industry,F60,inception_v3,3,64021,21187,21142,0.2431682078650163,0.5757071547420965,0.20868516284680338,2510,85.17642617225647,72.20561851945187,0.30633023461708725
Industry,F60,mobilenet_1.0_224,0,63976,21232,21142,0.09687460277330864,0.7845257903494176,0.10634938536145258,1768,61.295050382614136,69.35668069099144,0.18730757771377496
Industry,F60,mobilenet_1.0_224,1,63901,21307,21142,0.2865559848115879,0.35357737104825293,0.3090909090909091,1319,91.8314278125763,65.29672211309469,0.32984090027163365
Industry,F60,mobilenet_1.0_224,2,63726,21482,21142,0.25862447056837445,0.4733777038269551,0.23590381426202323,1311,88.28871250152588,69.04752109907093,0.31488655229662427
Industry,F60,mobilenet_1.0_224,3,64021,21187,21142,0.2917807242208458,0.29534109816971715,0.36787564766839376,1578,93.10850501060486,63.23746614218696,0.32764190124596215
Industry,F90,inception_v3,0,63976,21232,21142,0.1809948213780445,0.6397670549084858,0.15964293128503218,3498,78.80522012710571,71.83790139136211,0.25552417345073936
Industry,F90,inception_v3,1,63901,21307,21142,0.17971251052469203,0.6838602329450915,0.15714012617090423,2407,77.34840512275696,73.13734464625156,0.2555572827607648
Industry,F90,inception_v3,2,63726,21482,21142,0.16031912731436254,0.7004991680532446,0.1444253859348199,2504,74.7043788433075,72.51743583495912,0.23947667804323097
Industry,F90,inception_v3,3,64021,21187,21142,0.16927362764233728,0.6880199667221298,0.15036363636363637,2520,76.12335681915283,72.68334537722987,0.24679200238734708
